source,C:\TEMP\20260505\..\Crusher_IsaacSim_description\Crushing.usd

[LINKS],total=42
#,link_name,world_pos_x [m],world_pos_y [m],world_pos_z [m]
27,L1_Slider_jig_1_L2_Linear_bush_1,Fixed,0.007500,0.033000,0.012000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,base_link_L1_Wall1_1,Fixed,0.336278,0.009431,-0.085302,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,L1_Wall1_1_L2_GearCase3_1,Fixed,0.035000,0.005000,0.024500,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,L1_Wall1_1_L2__Motor2_Braket_1,Fixed,0.046420,0.005000,0.000500,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,L2__Motor2_Braket_1_L3_Motor2_1,Fixed,-0.010500,0.024202,-0.017000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,L3_Motor2_1_L4_Motor2_Shaft_1,Revolute,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,L4_Motor2_Shaft_1_L5_Coupler_1,Fixed,0.000000,0.000000,0.007000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,L5_Coupler_1_L6_DcutShaft_1,Fixed,0.000000,0.000000,0.025000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,L6_DcutShaft_1_L7_Holder_Bearing1_1,Revolute,0.000000,0.000000,0.017000,0.000000,0.000000,0.000000,180.0000,0.0000,180.0000,180.0000,0.0000,180.0000
36,L6_DcutShaft_1_L7_Holder_Bearing2_1,Revolute,0.000000,0.000000,0.035000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,L6_DcutShaft_1_L7_SpurGear_1,Fixed,0.000000,0.000000,0.017000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
