record_type,component,joint,occurrence_path,tag,other_component,world_x_m,world_y_m,world_z_m,local_x_m,local_y_m,local_z_m,distance_m,anchor_vec_x_m,anchor_vec_y_m,anchor_vec_z_m
anchor,M_RightLink,MTop_MRightLink,,One,M_Top,-0.05000000000002421,0.1017150347325428,0.052999999999997625,0.0265851337772457,0.02019768010202521,0.012989896286020155,,,,
anchor,M_Top,MTop_MRightLink,,Two,M_RightLink,-0.0499999999999799,0.10171503473256582,0.05299999999999916,0.04549266261939296,0.020197681219612282,0.026897424904651253,,,,
anchor,M_LeftLink,MTop_MLeftLink1,,One,M_Top,-0.05000000000003784,0.016715034732542707,0.05300000000000277,0.026585133777245633,0.020197680102025158,-0.07201010371397974,,,,
anchor,M_Top,MTop_MLeftLink1,,Two,M_LeftLink,-0.04999999999999353,0.01671503473256572,0.053000000000004335,0.04549266261939294,0.0201976812196123,-0.05810257509534877,,,,
anchor,M_Right1,MBack_MRight1,,One,M_Back,-0.00249999999997891,0.1134300694651129,0.037999999999993365,-0.0020073373806077,0.005197681219612282,0.0386124596372069,,,,
anchor,M_Back,MBack_MRight1,,Two,M_Right1,-0.0024999999999789375,0.11343006946511286,0.037999999999993365,-0.0020073373806076987,0.005197681219612287,0.0386124596372069,,,,
anchor,M_Left1,MBack_MLeft1,,One,M_Back,-0.0024999999999962942,0.0050000000000027175,0.03799999999999994,-0.0020073373806077264,0.005197681219612274,-0.06981760982790325,,,,
anchor,M_Back,MBack_MLeft1,,Two,M_Left1,-0.0024999999999963103,0.0050000000000027175,0.037999999999999944,-0.0020073373806077256,0.005197681219612282,-0.06981760982790323,,,,
anchor,F_Back,FBottom_FBack,,One,base_link,-0.10514819597665186,0.03814136035426057,0.01937977730166497,0.00031969969550900147,-0.014297436048432317,0.005784295971659672,,,,
anchor,base_link,FBottom_FBack,,Two,F_Back,-0.10514819597665179,0.03814136035426057,0.01937977730166497,0.00031969969550907254,-0.014297436048432317,0.005784295971659672,,,,
anchor,F_Left,FBack_FLeft,,One,F_Back,-0.1076481959766559,0.00498603513676084,0.03800000000002527,-0.0021803003044913185,0.004322786649925687,0.03893962118916098,,,,
anchor,F_Back,FBack_FLeft,,Two,F_Left,-0.1076481959766559,0.004986035136760494,0.03800000000002527,-0.0021803003044913185,0.004322786649925687,0.038939621189161326,,,,
anchor,F_Right,FBack_FRight,,One,F_Back,-0.10764819597663694,0.11341610460187099,0.03800000000001876,-0.0021803003044909806,0.004322786649925798,-0.06949044827594918,,,,
anchor,F_Back,FBack_FRight,,Two,F_Right,-0.10764819597663694,0.11341610460187035,0.03800000000001876,-0.0021803003044909806,0.004322786649925798,-0.06949044827594854,,,,
anchor,F_Top,FBack_FTop,,One,F_Back,-0.1076481959766413,0.08841610460187098,0.048000000000020276,-0.0021803003044921355,0.014322786649925786,-0.04449044827594857,,,,
anchor,F_Back,FBack_FTop,,Two,F_Top,-0.1076481959766413,0.08841610460187098,0.04800000000002022,-0.0021803003044921355,0.014322786649925732,-0.04449044827594857,,,,
anchor,F_RightLink2,FTop_RightLink2,,One,F_Top,-0.06950151528193411,0.09170106986931,0.05800000000001596,0.06499114860403367,0.025912994799960957,0.0019113900286812147,,,,
anchor,F_Top,FTop_RightLink2,,Two,F_RightLink2,-0.069501515281934,0.09170106986931004,0.058000000000015976,0.03596638039021352,0.024322786649925786,-0.047775413543393555,,,,
anchor,F_RightLink,FTop_RightLink1,,One,F_Top,-0.06000151528193312,0.10170106986930808,0.05300000000001437,0.056583619761885674,0.02091299479996088,0.013003861186532913,,,,
anchor,F_Top,FTop_RightLink1,,Two,F_RightLink,-0.06000151528193299,0.10170106986930805,0.05300000000001431,0.04546638039021336,0.01932278664992575,-0.0577754135433935,,,,
anchor,F_LeftLink,FTop_FLeftLink,,One,F_Top,-0.06000151528194781,0.01670106986930808,0.053000000000019545,0.05658361976188672,0.020912994799960907,-0.07199613881346702,,,,
anchor,F_Top,FTop_FLeftLink,,Two,F_LeftLink,-0.06000151528194764,0.016701069869308055,0.053000000000019504,0.04546638039021331,0.01932278664992575,0.027224586456606498,,,,
anchor,RightSlider1,FRight_RightSlider,,One,F_Right,-0.0851481959766382,0.11341610460186682,0.03250000000001633,-0.08475733738060968,0.11343006946511251,0.03265573732562305,,,,
anchor,F_Right,FRight_RightSlider,,Two,RightSlider1,-0.08514819597663806,0.11341610460186678,0.03250000000001628,0.020319699695508488,-0.0011772133500742665,-0.06949044827594916,,,,
anchor,LeftSlider1,FLeft_LeftSlider,,One,F_Left,-0.08510583779414105,0.004986035136756329,0.03252366976661692,-0.08471649321345384,0.004986034875972347,0.03196409351187476,,,,
anchor,F_Left,FLeft_LeftSlider,,Two,LeftSlider1,-0.08510583779414073,0.004986035136756288,0.03252366976661687,0.020362057878024427,-0.0011535435834802855,0.038939621189161326,,,,
anchor,Handle,FTop_Handle,,One,F_Top,-0.1076481959766406,0.08841610460187167,0.05800000000002042,-0.04186217070126075,0.15591299479996074,-0.0013735752387633404,,,,
anchor,F_Top,FTop_Handle,,Two,Handle,-0.10764819597664023,0.08841610460187159,0.05800000000002028,-0.0021803003044921355,0.024322786649925786,-0.04449044827594857,,,,
anchor,HexNut,강체 23,,One,Shaft_copy,-0.07401451575123416,0.05922011807981893,0.007879777301660253,-0.07401451448464619,0.059220117819038805,0.0071644637212821575,,,,
anchor,Shaft_copy,강체 23,,Two,HexNut,-0.07401451575123377,0.05922011807981998,0.007879777301660257,-0.07401451448464622,0.059220117819038805,0.007164463721293539,,,,
anchor,NeedleBearing,강체 24,,One,Shaft_copy,-0.07401451575123265,0.05922011807981952,0.014379777301660339,-0.0740145144846467,0.05922011781903924,0.013664463721282133,,,,
anchor,Shaft_copy,강체 24,,Two,NeedleBearing,-0.0740145157512329,0.05922011807982047,0.014379777301660339,-0.07401451448464673,0.05922011781903924,0.013664463721293624,,,,
anchor,Bearing1,강체 25,,One,Shaft_copy,-0.07401451575123204,0.05922011807982,0.019379777301660267,-0.07401451448464733,0.05922011781903949,0.01866446372128209,,,,
anchor,Shaft_copy,강체 25,,Two,Bearing1,-0.07401451575123244,0.05922011807982076,0.01937977730166027,-0.07401451448464734,0.05922011781903949,0.018664463721293555,,,,
