# source: Data_90.xls
# max_force_N=342.0  min_force_N=8.0  avg_force_N=28.67
no,sample_idx,force_N,pressure_MPa
819,360,0.0,0.0
820,361,0.0,0.0
821,362,0.0,0.0
822,363,0.0,0.0
823,364,0.0,0.0
824,365,0.0,0.0
825,366,0.0,0.0
826,367,0.0,0.0
827,368,0.0,0.0
828,369,0.0,0.0
829,370,0.0,0.0
830,371,0.0,0.0
831,372,0.0,0.0
832,373,0.0,0.0
833,374,0.0,0.0
834,375,0.0,0.0
835,376,0.0,0.0
836,377,0.0,0.0
837,378,0.0,0.0
838,379,0.0,0.0
839,380,0.0,0.0
840,381,0.0,0.0
841,382,0.0,0.0
842,383,0.0,0.0
843,384,0.0,0.0
844,385,0.0,0.0
845,386,0.0,0.0
846,387,0.0,0.0
847,388,21.0,21.0
848,389,47.0,47.0
849,390,63.0,63.0
850,391,82.0,82.0
851,392,98.0,98.0
852,393,98.0,98.0
853,394,98.0,98.0
854,395,98.0,98.0
855,396,97.0,97.0
856,397,97.0,97.0
857,398,70.0,70.0
858,399,19.0,19.0
859,400,0.0,0.0
860,401,0.0,0.0
861,402,0.0,0.0
862,403,0.0,0.0
863,404,0.0,0.0
864,405,0.0,0.0
865,406,0.0,0.0
866,407,0.0,0.0
867,408,0.0,0.0
868,409,0.0,0.0
869,410,0.0,0.0
870,411,0.0,0.0
871,412,0.0,0.0
872,413,0.0,0.0
873,414,0.0,0.0
874,415,0.0,0.0
875,416,0.0,0.0
876,417,0.0,0.0
877,418,0.0,0.0
878,419,0.0,0.0
879,420,0.0,0.0
880,421,0.0,0.0
881,422,0.0,0.0
882,423,0.0,0.0
883,424,0.0,0.0
884,425,0.0,0.0
885,426,0.0,0.0
886,427,0.0,0.0
887,428,0.0,0.0
888,429,0.0,0.0
889,430,0.0,0.0
890,431,0.0,0.0
891,432,0.0,0.0
892,433,0.0,0.0
893,434,0.0,0.0
894,435,0.0,0.0
895,436,0.0,0.0
896,437,0.0,0.0
897,438,0.0,0.0
898,439,0.0,0.0
899,440,0.0,0.0
900,441,0.0,0.0
901,442,0.0,0.0
902,443,0.0,0.0
903,444,0.0,0.0
904,445,0.0,0.0
905,446,0.0,0.0
906,447,0.0,0.0
907,448,0.0,0.0
908,449,0.0,0.0
909,450,0.0,0.0
910,451,0.0,0.0
911,452,0.0,0.0
912,453,0.0,0.0
913,454,0.0,0.0
