filename,n_vertices,n_faces,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,extent_x,extent_y,extent_z,bbox_diagonal,principal_length,centroid_x,centroid_y,centroid_z,is_watertight,volume
F_RightLink_1_hull.stl,372,124,-89.35298919677734,92.44107055664062,48.0,-83.20391082763672,112.69691467285156,148.0,6.149078369140625,20.255844116210938,100.0,102.2159986775557,100.23495239553951,-86.41037988149992,103.08016305328697,63.77871957389257,True,9864.659685772558
F_Right_1.stl,2352,784,-137.8695526123047,119.111328125,1.4024337247064977e-11,-82.52593231201172,127.29444885253906,48.0,55.34362030029297,8.183120727539062,47.999999999985974,73.71485449204341,61.71111351215898,-114.83429066988887,123.45594431753872,36.65107105378432,True,12888.970526799161
F_Right_1_hull.stl,114,38,-137.8695526123047,119.111328125,1.4024337247064977e-11,-82.52593231201172,127.29444885253906,48.0,55.34362030029297,8.183120727539062,47.999999999985974,73.71485449204341,60.51743540939495,-115.06741687707733,123.35338371678402,28.22959423065604,True,13235.21735729152
F_Top_1.stl,2412,804,-144.43406677246094,6.160738945007324,48.0,-84.50605010986328,127.29444885253906,58.0,59.928016662597656,121.13370990753174,10.0,135.5165777942855,119.50597190662046,-111.50784745856897,69.69851038882982,53.26119402985075,True,60943.02117156476
F_Top_1_hull.stl,60,20,-144.43406677246094,6.160738945007324,48.0,-84.50605010986328,127.29444885253906,58.0,59.928016662597656,121.13370990753174,10.0,135.5165777942855,119.03766608252852,-105.83222732543945,65.61252082188925,53.0,True,63599.502477175905
Handle_1.stl,1476,492,-168.9818878173828,28.305938720703125,38.0,-126.25859069824219,107.4147720336914,63.0,42.723297119140625,79.10883331298828,25.0,93.31927788443572,78.55248337088284,-141.25599854425363,68.46379932930799,52.36652235480828,True,21960.889102004556
Handle_1_hull.stl,144,48,-168.9818878173828,28.305938720703125,38.0,-126.25859069824219,107.4147720336914,63.0,42.723297119140625,79.10883331298828,25.0,93.31927788443572,78.57574694024356,-145.7054794099596,68.42716032928891,54.25,True,49000.48757649396
HexNut_1.stl,3672,1224,-111.43290710449219,58.6009635925293,7.879777431488037,-98.43290710449219,73.61206817626953,14.379776954650879,13.0,15.011104583740234,6.499999523162842,20.894574765357255,13.000045696742422,-104.93290470264576,66.10651561741216,11.059706150316725,True,620.1672543368601
HexNut_1_hull.stl,2724,908,-111.43290710449219,58.6009635925293,7.879777431488037,-98.43290710449219,73.61206817626953,14.379776954650879,13.0,15.011104583740234,6.499999523162842,20.894574765357255,15.36717187937518,-104.73621855188222,65.87581336795846,11.13330795218766,True,946.5401427318053
LeftSlider1_1.stl,46236,15412,-139.08905029296875,7.961734294891357,22.53139305114746,-38.63969802856445,20.850772857666016,42.51594543457031,100.4493522644043,12.889038562774658,19.98455238342285,103.22587863213782,100.27441036408096,-81.75114881436463,14.631021664272348,32.52549039563647,False,
LeftSlider1_1_hull.stl,924,308,-139.08905029296875,7.961734294891357,22.53139305114746,-38.63969802856445,20.850772857666016,42.51594543457031,100.4493522644043,12.889038562774658,19.98455238342285,103.22587863213782,100.26464657011039,-99.92462083477994,15.43622713894039,32.52394771575928,True,13067.63875197373
