# Velocity Control — Tablet Force Profile
# STL,tablet_R8.5_AR2.50_CV0.35.stl,R_mm,8.5,AR,2.5,CV,0.35
# target_rpm,8.0,kv,60.0,forcelim,120.0
# density_kg_m3,1200.0
# F_Y_max,0.00000,F_Y_min,0.00000,Impulse_Ns,0.000000

Time_s,F_X_N,F_Y_N,F_Z_N,Crank_RPM,Motor_torque_Nm
1.54600,0.00000,0.00000,0.00000,0.0554,0.3443
1.54800,0.00000,0.00000,0.00000,-0.0546,-0.3481
1.55000,0.00000,0.00000,0.00000,0.0543,0.3429
1.55200,0.00000,0.00000,0.00000,-0.0541,-0.3413
1.55400,0.00000,0.00000,0.00000,0.0535,0.3400
1.55600,0.00000,0.00000,0.00000,-0.0540,-0.3362
1.55800,0.00000,0.00000,0.00000,0.0538,0.3392
1.56000,0.00000,0.00000,0.00000,-0.0543,-0.3381
1.56200,0.00000,0.00000,0.00000,0.0546,0.3410
1.56400,0.00000,0.00000,0.00000,-0.0545,-0.3432
1.56600,0.00000,0.00000,0.00000,0.0549,0.3427
1.56800,0.00000,0.00000,0.00000,-0.0545,-0.3450
1.57000,0.00000,0.00000,0.00000,0.0544,0.3424
1.57200,0.00000,0.00000,0.00000,-0.0543,-0.3421
1.57400,0.00000,0.00000,0.00000,0.0539,0.3409
1.57600,0.00000,0.00000,0.00000,-0.0541,-0.3390
1.57800,0.00000,0.00000,0.00000,0.0540,0.3402
1.58000,0.00000,0.00000,0.00000,-0.0543,-0.3392
1.58200,0.00000,0.00000,0.00000,0.0544,0.3409
1.58400,0.00000,0.00000,0.00000,-0.0544,-0.3418
1.58600,0.00000,0.00000,0.00000,0.0546,0.3419
1.58800,0.00000,0.00000,0.00000,-0.0544,-0.3432
1.59000,0.00000,0.00000,0.00000,0.0544,0.3420
1.59200,0.00000,0.00000,0.00000,-0.0543,-0.3421
1.59400,0.00000,0.00000,0.00000,0.0542,0.3412
1.59600,0.00000,0.00000,0.00000,-0.0542,-0.3403
1.59800,0.00000,0.00000,0.00000,0.0541,0.3408
1.60000,0.00000,0.00000,0.00000,-0.0543,-0.3401
1.60200,0.00000,0.00000,0.00000,0.0543,0.3410
1.60400,0.00000,0.00000,0.00000,-0.0544,-0.3413
1.60600,0.00000,0.00000,0.00000,0.0545,0.3415
1.60800,0.00000,0.00000,0.00000,-0.0544,-0.3422
1.61000,0.00000,0.00000,0.00000,0.0544,0.3417
1.61200,0.00000,0.00000,0.00000,-0.0543,-0.3419
1.61400,0.00000,0.00000,0.00000,0.0543,0.3414
1.61600,0.00000,0.00000,0.00000,-0.0543,-0.3409
1.61800,0.00000,0.00000,0.00000,0.0542,0.3410
1.62000,0.00000,0.00000,0.00000,-0.0543,-0.3406
1.62200,0.00000,0.00000,0.00000,0.0543,0.3411
1.62400,0.00000,0.00000,0.00000,-0.0543,-0.3412
1.62600,0.00000,0.00000,0.00000,0.0544,0.3414
1.62800,0.00000,0.00000,0.00000,-0.0544,-0.3417
1.63000,0.00000,0.00000,0.00000,0.0544,0.3415
1.63200,0.00000,0.00000,0.00000,-0.0543,-0.3417
1.63400,0.00000,0.00000,0.00000,0.0543,0.3414
1.63600,0.00000,0.00000,0.00000,-0.0543,-0.3412
1.63800,0.00000,0.00000,0.00000,0.0543,0.3412
1.64000,0.00000,0.00000,0.00000,-0.0543,-0.3410
1.64200,0.00000,0.00000,0.00000,0.0543,0.3412
1.64400,0.00000,0.00000,0.00000,-0.0543,-0.3412
1.64600,0.00000,0.00000,0.00000,0.0543,0.3413
1.64800,0.00000,0.00000,0.00000,-0.0543,-0.3415
1.65000,0.00000,0.00000,0.00000,0.0544,0.3414
1.65200,0.00000,0.00000,0.00000,-0.0543,-0.3415
1.65400,0.00000,0.00000,0.00000,0.0543,0.3414
1.65600,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.65800,0.00000,0.00000,0.00000,0.0543,0.3413
1.66000,0.00000,0.00000,0.00000,-0.0543,-0.3411
1.66200,0.00000,0.00000,0.00000,0.0543,0.3412
1.66400,0.00000,0.00000,0.00000,-0.0543,-0.3412
1.66600,0.00000,0.00000,0.00000,0.0543,0.3413
1.66800,0.00000,0.00000,0.00000,-0.0543,-0.3414
1.67000,0.00000,0.00000,0.00000,0.0543,0.3414
1.67200,0.00000,0.00000,0.00000,-0.0543,-0.3414
1.67400,0.00000,0.00000,0.00000,0.0543,0.3413
1.67600,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.67800,0.00000,0.00000,0.00000,0.0543,0.3413
1.68000,0.00000,0.00000,0.00000,-0.0543,-0.3412
1.68200,0.00000,0.00000,0.00000,0.0543,0.3413
1.68400,0.00000,0.00000,0.00000,-0.0543,-0.3412
1.68600,0.00000,0.00000,0.00000,0.0543,0.3413
1.68800,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.69000,0.00000,0.00000,0.00000,0.0543,0.3413
1.69200,0.00000,0.00000,0.00000,-0.0543,-0.3414
1.69400,0.00000,0.00000,0.00000,0.0543,0.3413
1.69600,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.69800,0.00000,0.00000,0.00000,0.0543,0.3413
1.70000,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.70200,0.00000,0.00000,0.00000,0.0543,0.3413
