# Crusher Tablet Simulation — slide joint
# Generated,2026-06-05T14:11:10
# STL,tablet_R4.0_AR1.00_CV0.08.stl,R_mm,4.0,AR,1.0,CV,0.08
# density_kg_m3,1200.0,slide_damping_Nsm,10.0
# solref_tau_s,0.020000
# MOTOR_CTRL_Nm,-0.5,MOTOR_DELAY_s,3.0
# F_Y_max_N,0.02606,F_Y_min_N,-0.02480,Impulse_Ns,-0.000815,disp_max_mm,1.6544

Time_s,F_X_N,F_Y_N,F_Z_N,F_mag_N,Slider_Y_mm,Tablet_Y_mm,Gap_mm,Slide_disp_mm,Slide_vel_mms,Crank_vel_rads,Motor_dir,ncon
26.18400,0.000000,0.000000,0.000000,0.000000,215.7436,335.2405,119.4969,0.08150,0.00000,-0.965753,CCW,0
26.18600,0.000000,0.000000,0.000000,0.000000,215.7828,335.2405,119.4577,0.08150,0.00000,-0.965041,CCW,0
26.18800,0.000000,0.000000,0.000000,0.000000,215.8220,335.2405,119.4185,0.08150,0.00000,-0.964331,CCW,0
26.19000,0.000000,0.000000,0.000000,0.000000,215.8611,335.2405,119.3794,0.08150,0.00000,-0.963622,CCW,0
26.19200,0.000000,0.000000,0.000000,0.000000,215.9003,335.2405,119.3402,0.08150,0.00000,-0.962914,CCW,0
26.19400,0.000000,0.000000,0.000000,0.000000,215.9394,335.2405,119.3011,0.08150,0.00000,-0.962208,CCW,0
26.19600,0.000000,0.000000,0.000000,0.000000,215.9785,335.2405,119.2620,0.08150,0.00000,-0.961502,CCW,0
26.19800,0.000000,0.000000,0.000000,0.000000,216.0175,335.2405,119.2230,0.08150,0.00000,-0.960798,CCW,0
26.20000,0.000000,0.000000,0.000000,0.000000,216.0566,335.2405,119.1839,0.08150,0.00000,-0.960095,CCW,0
26.20200,0.000000,0.000000,0.000000,0.000000,216.0956,335.2405,119.1449,0.08150,0.00000,-0.959394,CCW,0
26.20400,0.000000,0.000000,0.000000,0.000000,216.1346,335.2405,119.1059,0.08150,0.00000,-0.958693,CCW,0
26.20600,0.000000,0.000000,0.000000,0.000000,216.1736,335.2405,119.0669,0.08150,0.00000,-0.957994,CCW,0
26.20800,0.000000,0.000000,0.000000,0.000000,216.2126,335.2405,119.0279,0.08150,0.00000,-0.957296,CCW,0
26.21000,0.000000,0.000000,0.000000,0.000000,216.2515,335.2405,118.9890,0.08150,0.00000,-0.956599,CCW,0
26.21200,0.000000,0.000000,0.000000,0.000000,216.2904,335.2405,118.9501,0.08150,0.00000,-0.955904,CCW,0
26.21400,0.000000,0.000000,0.000000,0.000000,216.3293,335.2405,118.9112,0.08150,0.00000,-0.955209,CCW,0
26.21600,0.000000,0.000000,0.000000,0.000000,216.3682,335.2405,118.8723,0.08150,0.00000,-0.954516,CCW,0
26.21800,0.000000,0.000000,0.000000,0.000000,216.4071,335.2405,118.8334,0.08150,0.00000,-0.953824,CCW,0
26.22000,0.000000,0.000000,0.000000,0.000000,216.4459,335.2405,118.7946,0.08150,0.00000,-0.953134,CCW,0
26.22200,0.000000,0.000000,0.000000,0.000000,216.4848,335.2405,118.7557,0.08150,0.00000,-0.952444,CCW,0
26.22400,0.000000,0.000000,0.000000,0.000000,216.5236,335.2405,118.7169,0.08150,0.00000,-0.951756,CCW,0
26.22600,0.000000,0.000000,0.000000,0.000000,216.5623,335.2405,118.6782,0.08150,0.00000,-0.951069,CCW,0
26.22800,0.000000,0.000000,0.000000,0.000000,216.6011,335.2405,118.6394,0.08150,0.00000,-0.950383,CCW,0
26.23000,0.000000,0.000000,0.000000,0.000000,216.6398,335.2405,118.6007,0.08150,0.00000,-0.949699,CCW,0
26.23200,0.000000,0.000000,0.000000,0.000000,216.6786,335.2405,118.5619,0.08150,0.00000,-0.949015,CCW,0
26.23400,0.000000,0.000000,0.000000,0.000000,216.7173,335.2405,118.5232,0.08150,0.00000,-0.948333,CCW,0
26.23600,0.000000,0.000000,0.000000,0.000000,216.7559,335.2405,118.4846,0.08150,0.00000,-0.947652,CCW,0
26.23800,0.000000,0.000000,0.000000,0.000000,216.7946,335.2405,118.4459,0.08150,0.00000,-0.946972,CCW,0
26.24000,0.000000,0.000000,0.000000,0.000000,216.8332,335.2405,118.4073,0.08150,0.00000,-0.946294,CCW,0
26.24200,0.000000,0.000000,0.000000,0.000000,216.8718,335.2405,118.3687,0.08150,0.00000,-0.945617,CCW,0
26.24400,0.000000,0.000000,0.000000,0.000000,216.9104,335.2405,118.3301,0.08150,0.00000,-0.944941,CCW,0
26.24600,0.000000,0.000000,0.000000,0.000000,216.9490,335.2405,118.2915,0.08150,0.00000,-0.944266,CCW,0
26.24800,0.000000,0.000000,0.000000,0.000000,216.9875,335.2405,118.2530,0.08150,0.00000,-0.943592,CCW,0
26.25000,0.000000,0.000000,0.000000,0.000000,217.0260,335.2405,118.2145,0.08150,0.00000,-0.942920,CCW,0
26.25200,0.000000,0.000000,0.000000,0.000000,217.0645,335.2405,118.1760,0.08150,0.00000,-0.942249,CCW,0
26.25400,0.000000,0.000000,0.000000,0.000000,217.1030,335.2405,118.1375,0.08150,0.00000,-0.941579,CCW,0
26.25600,0.000000,0.000000,0.000000,0.000000,217.1414,335.2405,118.0991,0.08150,0.00000,-0.940910,CCW,0
26.25800,0.000000,0.000000,0.000000,0.000000,217.1799,335.2405,118.0606,0.08150,0.00000,-0.940243,CCW,0
26.26000,0.000000,0.000000,0.000000,0.000000,217.2183,335.2405,118.0222,0.08150,0.00000,-0.939577,CCW,0
26.26200,0.000000,0.000000,0.000000,0.000000,217.2566,335.2405,117.9839,0.08150,0.00000,-0.938912,CCW,0
26.26400,0.000000,0.000000,0.000000,0.000000,217.2950,335.2405,117.9455,0.08150,0.00000,-0.938248,CCW,0
26.26600,0.000000,0.000000,0.000000,0.000000,217.3333,335.2405,117.9072,0.08150,0.00000,-0.937585,CCW,0
26.26800,0.000000,0.000000,0.000000,0.000000,217.3716,335.2405,117.8689,0.08150,0.00000,-0.936924,CCW,0
26.27000,0.000000,0.000000,0.000000,0.000000,217.4099,335.2405,117.8306,0.08150,0.00000,-0.936264,CCW,0
26.27200,0.000000,0.000000,0.000000,0.000000,217.4482,335.2405,117.7923,0.08150,0.00000,-0.935605,CCW,0
26.27400,0.000000,0.000000,0.000000,0.000000,217.4864,335.2405,117.7541,0.08150,0.00000,-0.934947,CCW,0
26.27600,0.000000,0.000000,0.000000,0.000000,217.5246,335.2405,117.7159,0.08150,0.00000,-0.934291,CCW,0
26.27800,0.000000,0.000000,0.000000,0.000000,217.5628,335.2405,117.6777,0.08150,0.00000,-0.933635,CCW,0
